,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
1918,1.9,11.1,31.8,38.2,54.7,60.5,64.9,65.0,49.7,45.9,33.3,24.1,40.1,,41.6,63.5,43.0,20.1
1919,18.8,17.4,27.7,41.0,51.2,67.7,68.7,62.5,57.5,42.2,26.4,7.2,40.7,,40.0,66.3,42.0,7.9
1920,4.1,12.5,26.2,34.8,51.3,63.6,63.3,62.6,59.0,52.1,28.8,21.2,40.0,,37.4,63.2,46.6,19.7
1921,18.6,19.2,29.1,46.1,55.4,67.5,73.3,64.2,60.4,45.5,25.1,17.1,43.5,,43.5,68.3,43.7,12.5
1922,9.2,11.3,26.2,39.5,58.8,62.9,64.3,64.0,58.4,45.5,34.3,14.6,40.8,,41.5,63.7,46.1,11.5
1923,13.2,6.8,17.7,36.3,51.9,66.0,67.5,60.6,56.1,42.7,33.6,26.8,39.9,,35.3,64.7,44.1,15.4
1924,3.1,16.3,24.9,37.7,45.2,58.1,62.5,61.4,51.7,49.5,30.4,8.7,37.5,,35.9,60.7,43.9,12.5
1925,11.8,16.9,27.9,44.8,48.5,63.1,64.8,64.8,58.4,35.1,27.8,14.7,39.9,,40.4,64.2,40.4,14.8
1926,13.1,16.5,19.3,35.6,53.0,57.3,65.5,63.1,52.7,41.0,24.4,12.6,37.8,,36.0,62.0,39.4,13.7
1927,9.4,19.1,31.6,39.7,48.5,58.5,63.7,58.9,58.0,46.5,28.6,10.8,39.4,,39.9,60.4,44.4,13.1
1928,14.0,14.6,24.1,33.7,53.4,57.3,66.1,64.1,51.5,45.4,31.2,21.3,39.7,,37.1,62.5,42.7,9.3
1929,0.8,5.8,28.7,41.2,48.8,59.2,66.2,62.5,55.7,43.9,26.1,16.4,37.9,,39.6,62.6,41.9,14.1
1930,6.4,19.6,25.8,41.3,54.0,63.7,67.2,65.9,57.5,43.4,33.6,18.8,41.4,,40.4,65.6,44.8,21.0
1931,19.4,24.8,26.8,42.1,51.3,65.4,70.1,63.1,62.4,49.2,37.4,26.5,44.9,,40.1,66.2,49.7,21.3
1932,20.5,16.9,19.4,38.0,52.8,64.5,67.6,66.1,55.4,42.0,25.9,15.8,40.4,,36.7,66.1,41.1,15.6
1933,20.2,10.9,23.9,38.3,54.2,69.7,69.3,63.6,60.9,41.6,25.4,13.4,41.0,,38.8,67.5,42.6,13.6
1934,18.8,8.7,21.2,37.8,58.2,65.6,67.5,61.1,54.5,46.3,33.6,14.7,40.7,,39.1,64.7,44.8,13.6
1935,9.2,16.8,28.0,38.8,48.7,58.0,71.0,64.9,54.4,44.3,27.5,16.6,39.9,,38.5,64.6,42.1,8.1
1936,8.0,-0.2,26.6,34.8,57.2,59.4,71.3,65.2,59.0,40.9,26.1,20.2,39.0,,39.5,65.3,42.0,14.5
1937,8.8,14.5,22.3,37.8,53.6,61.8,69.5,69.8,56.4,40.6,28.0,15.0,39.8,,37.9,67.0,41.7,15.0
1938,11.0,19.0,31.3,42.2,52.4,61.3,66.5,67.0,55.0,49.0,31.1,17.8,42.0,,42.0,64.9,45.0,15.1
1939,17.3,10.2,24.1,37.3,56.0,63.4,67.8,64.7,57.7,43.5,31.5,25.3,41.6,,39.1,65.3,44.2,17.2
1940,8.4,18.0,20.1,36.4,49.4,61.3,66.8,63.1,57.6,46.3,28.1,19.4,39.6,,35.3,63.7,44.0,16.6
1941,15.2,15.3,21.7,46.0,57.0,64.4,67.9,63.9,58.4,45.3,33.3,25.0,42.8,,41.6,65.4,45.7,18.9
1942,15.4,16.3,30.2,47.2,51.5,61.4,65.3,64.1,53.9,45.4,29.5,13.9,41.2,,43.0,63.6,42.9,12.9
1943,9.4,15.4,19.1,37.3,51.5,65.0,68.8,65.2,51.7,44.7,26.5,19.3,39.5,,36.0,66.3,41.0,20.1
1944,23.0,18.0,22.4,36.9,56.4,64.0,66.0,66.2,56.4,45.0,34.9,15.4,42.1,,38.6,65.4,45.4,13.1
1945,9.0,15.0,35.9,41.3,47.7,57.6,63.7,64.5,55.3,42.9,29.5,13.6,39.7,,41.6,61.9,42.6,14.0
1946,14.4,14.0,36.9,43.0,50.5,60.8,66.0,61.9,55.5,48.3,31.2,18.0,41.7,,43.5,62.9,45.0,15.8
1947,16.1,13.3,24.5,37.1,47.3,58.5,66.6,71.5,57.8,54.1,26.0,17.4,40.9,,36.3,65.5,46.0,12.2
1948,6.4,12.8,24.0,43.7,51.5,61.5,67.2,66.0,60.1,44.1,33.8,17.9,40.8,,39.7,64.9,46.0,16.4
1949,16.4,15.0,25.5,42.8,54.2,66.5,68.9,66.1,53.4,48.5,30.0,18.1,42.1,,40.8,67.2,44.0,14.2
1950,10.4,14.2,20.8,31.6,51.0,62.1,63.4,59.5,55.1,48.7,25.7,12.2,37.9,,34.5,61.7,43.2,12.6
1951,10.0,15.6,23.7,39.3,56.7,58.8,65.6,60.7,53.2,44.8,22.3,15.9,38.9,,39.9,61.7,40.1,16.4
1952,13.6,19.6,23.6,44.4,52.2,63.6,67.9,63.3,56.7,39.6,32.3,22.9,41.6,,40.1,64.9,42.9,18.8
1953,17.7,15.9,27.8,37.6,52.6,63.4,66.5,66.2,56.8,50.2,35.8,20.8,42.6,,39.3,65.4,47.6,19.2
1954,11.7,25.1,23.9,41.5,46.8,64.2,66.3,62.3,54.2,44.0,33.2,19.4,41.1,,37.4,64.3,43.8,15.1
1955,11.9,14.1,22.7,46.9,56.1,62.3,71.9,69.0,56.7,46.7,26.0,13.2,41.5,,41.9,67.7,43.1,14.4
1956,15.1,15.0,21.6,37.0,50.9,63.8,63.1,64.0,52.8,50.6,30.0,19.4,40.3,,36.5,63.6,44.5,14.1
1957,5.8,17.1,26.6,41.6,51.6,61.9,68.0,63.9,54.2,44.0,30.0,19.3,40.3,,39.9,64.6,42.7,16.5
1958,17.1,13.0,28.0,41.6,51.5,57.2,64.8,64.5,56.6,46.8,32.1,10.2,40.3,,40.4,62.2,45.2,8.8
1959,5.8,10.4,23.8,40.6,56.8,64.0,66.4,68.7,57.8,40.9,21.7,24.6,40.1,,40.4,66.4,40.1,19.1
1960,15.4,17.2,17.5,41.4,51.3,59.7,64.7,65.8,57.4,44.7,33.7,15.4,40.4,,36.7,63.4,45.3,16.5
1961,12.0,22.1,29.3,37.6,49.9,62.3,65.9,65.3,57.4,46.7,30.1,15.5,41.2,,38.9,64.5,44.7,11.6
1962,8.1,11.1,25.8,39.4,56.7,61.2,63.5,64.0,52.9,46.8,31.7,16.6,39.8,,40.6,62.9,43.8,9.2
1963,3.1,7.8,27.3,43.1,50.7,64.3,67.8,62.8,56.1,54.0,35.8,11.7,40.4,,40.4,65.0,48.6,16.2
1964,18.4,18.4,24.7,41.4,57.4,62.2,68.6,61.3,54.5,43.6,33.9,14.2,41.6,,41.2,64.0,44.0,12.1
1965,10.4,11.6,20.6,37.3,56.1,60.1,63.8,62.9,52.3,45.9,30.8,24.4,39.7,,38.0,62.3,43.0,16.2
1966,6.8,17.4,30.1,37.8,48.0,64.0,69.6,63.0,55.2,44.1,29.9,17.9,40.3,,38.6,65.5,43.1,13.9
1967,15.4,8.4,25.5,40.6,47.0,62.5,64.3,60.8,55.0,43.3,27.1,18.6,39.0,,37.7,62.5,41.8,14.5
1968,12.0,13.0,33.5,42.8,50.0,61.8,65.8,64.2,57.5,47.8,31.1,17.3,41.4,,42.1,63.9,45.5,15.5
1969,12.1,17.0,22.4,42.8,53.1,55.3,65.6,67.5,55.6,42.4,29.2,19.0,40.2,,39.4,62.8,42.4,12.8
1970,6.4,12.9,23.3,42.0,52.7,64.1,69.0,65.3,56.9,47.3,30.3,17.6,40.7,,39.3,66.1,44.8,12.5
1971,6.1,13.8,22.2,39.7,49.9,65.7,63.6,61.8,58.1,52.0,31.5,19.7,40.3,,37.3,63.7,47.2,12.1
1972,6.3,10.4,21.7,35.6,56.3,60.3,65.1,64.2,54.5,41.2,30.1,13.8,38.3,,37.9,63.2,41.9,16.1
1973,16.7,17.8,35.5,39.9,48.8,63.7,67.8,67.0,56.5,50.8,30.9,17.1,42.7,,41.4,66.2,46.1,14.1
1974,12.4,12.8,26.1,42.3,49.4,58.8,68.3,63.6,50.9,44.1,32.5,22.2,40.3,,39.3,63.6,42.5,17.6
1975,14.6,16.0,21.9,34.8,57.5,62.7,69.0,64.6,52.0,47.4,35.7,17.5,41.1,,38.1,65.4,45.0,16.2
1976,9.0,22.0,26.1,43.8,50.4,65.1,67.6,64.0,54.2,39.7,23.7,7.4,39.4,,40.1,65.6,39.2,8.9
1977,2.1,17.2,33.0,45.5,61.1,60.7,69.5,60.9,56.1,44.6,30.9,16.2,41.5,,46.5,63.7,43.9,12.1
1978,9.8,10.4,24.4,38.3,55.3,61.2,64.5,65.0,58.9,44.1,29.8,13.8,39.6,,39.3,63.6,44.3,8.3
1979,3.8,7.3,26.5,37.6,49.6,60.9,66.8,62.6,57.1,42.3,29.2,23.1,38.9,,37.9,63.4,42.9,16.6
1980,13.3,13.4,23.5,43.1,56.0,60.5,67.9,65.7,54.9,40.3,31.8,15.8,40.5,,40.9,64.7,42.3,15.9
1981,12.3,19.7,31.1,43.1,51.2,62.6,66.1,65.1,54.0,41.0,34.4,18.8,41.6,,41.8,64.6,43.1,11.4
1982,2.9,12.6,25.4,36.7,58.2,56.6,67.8,62.0,54.4,46.3,30.3,24.1,39.8,,40.1,62.1,43.7,22.0
1983,17.5,24.4,29.4,38.3,47.4,62.3,71.4,69.0,57.7,45.2,33.1,7.5,41.9,,38.4,67.6,45.3,14.2
1984,9.3,25.7,21.5,43.3,49.9,63.9,65.8,67.0,53.8,47.6,30.9,19.2,41.5,,38.2,65.6,44.1,14.5
1985,10.3,13.9,31.5,44.4,56.4,59.2,65.3,63.0,56.2,44.6,26.2,7.9,39.9,,44.1,62.5,42.3,11.9
1986,12.9,14.8,28.8,46.2,56.4,61.1,68.2,61.5,56.2,44.6,26.8,21.4,41.6,,43.8,63.6,42.5,21.5
1987,18.8,24.4,32.6,46.8,55.8,66.2,69.8,64.6,57.4,39.7,34.4,24.4,44.6,,45.1,66.9,43.8,15.1
1988,9.1,11.8,27.7,42.1,57.2,66.2,69.9,68.5,57.2,39.8,33.1,17.5,41.7,,42.3,68.2,43.4,15.7
1989,19.4,10.1,22.0,39.3,52.2,60.7,68.2,65.6,55.8,46.5,26.9,7.5,39.5,,37.8,64.8,43.1,16.1
1990,22.5,18.3,30.9,45.0,50.1,62.6,65.7,64.4,57.8,43.3,35.5,18.0,42.8,,42.0,64.2,45.5,16.2
1991,9.6,20.9,29.7,45.2,57.8,66.3,66.2,66.9,54.5,43.9,26.6,19.8,42.3,,44.2,66.5,41.7,20.4
1992,18.8,22.7,27.2,38.7,54.1,59.5,61.4,61.3,54.5,43.8,28.9,20.2,40.9,,40.0,60.7,42.4,16.5
1993,13.9,15.5,28.2,37.9,52.9,59.9,66.5,66.1,51.3,42.2,28.8,20.9,40.3,,39.7,64.2,40.8,11.7
1994,3.0,11.1,29.8,41.0,53.7,64.7,65.5,62.5,59.2,47.6,35.3,25.4,41.6,,41.5,64.2,47.4,19.8
1995,17.3,16.6,30.7,36.1,52.4,67.5,67.9,69.4,54.3,46.3,23.1,14.6,41.4,,39.7,68.3,41.2,12.6
1996,9.4,13.7,21.0,36.5,49.8,62.6,63.7,65.6,57.4,44.5,26.2,18.6,39.1,,35.8,64.0,42.7,16.7
1997,12.0,19.6,25.8,39.4,46.7,64.4,65.6,61.3,57.7,45.3,29.1,26.0,41.1,,37.3,63.8,44.0,25.0
1998,19.1,29.9,29.8,45.4,59.2,62.0,67.2,67.5,61.2,47.6,36.0,24.5,45.8,,44.8,65.6,48.3,19.8
1999,11.2,23.7,30.4,44.9,56.4,64.1,70.4,64.0,56.4,43.4,38.6,20.4,43.7,,43.9,66.2,46.1,18.6
2000,13.2,22.2,36.7,40.7,55.4,61.2,65.1,65.0,55.7,48.6,32.1,9.5,42.1,,44.3,63.8,45.5,14.5
2001,19.3,14.7,27.2,44.8,55.7,63.0,67.2,68.4,56.0,44.4,40.8,26.8,44.0,,42.6,66.2,47.1,25.0
2002,23.0,25.3,22.9,40.6,48.4,64.3,71.3,65.9,60.0,40.8,30.0,23.3,43.0,,37.3,67.2,43.6,15.7
2003,12.7,11.1,26.8,39.2,51.9,61.2,66.8,67.8,57.6,44.8,31.8,24.4,41.3,,39.3,65.3,44.7,17.6
2004,8.9,19.6,30.8,41.9,50.7,60.2,64.7,60.8,61.8,46.3,35.0,18.5,41.6,,41.1,61.9,47.7,18.0
2005,12.2,23.3,24.6,45.3,51.1,68.0,69.0,67.1,61.6,48.8,32.5,18.5,43.5,,40.3,68.0,47.6,20.2
2006,25.4,16.6,29.8,46.9,54.8,63.1,70.7,65.7,55.1,41.4,35.6,26.0,44.3,,43.8,66.5,44.0,19.2
2007,19.6,11.9,31.8,41.1,56.7,65.6,67.6,67.0,60.1,51.4,31.5,17.0,43.4,,43.2,66.7,47.7,14.9
2008,15.2,12.6,23.2,41.7,50.4,63.2,67.6,65.0,59.0,45.0,32.0,11.8,40.6,,38.4,65.3,45.3,12.2
2009,5.6,19.2,27.4,40.7,52.7,61.6,62.4,63.3,59.9,40.8,38.9,17.3,40.8,,40.3,62.4,46.5,18.5
2010,17.1,21.2,36.4,48.0,56.8,63.0,69.6,69.2,54.8,48.0,33.9,18.4,44.7,,47.1,67.3,45.6,16.3
2011,12.3,18.2,26.6,39.2,52.6,62.1,71.2,67.0,55.6,48.2,35.4,24.1,42.7,,39.5,66.8,46.4,23.1
2012,19.5,25.6,43.0,43.2,57.9,65.5,72.0,65.4,55.6,43.9,32.9,24.7,45.8,,48.0,67.6,44.1,18.9
2013,16.1,15.9,23.5,35.9,53.9,62.3,67.4,65.5,57.8,45.5,30.2,11.2,40.4,,37.8,65.1,44.5,7.6
2014,5.0,6.6,18.4,37.2,53.4,64.4,64.0,64.4,56.5,44.6,24.3,22.1,38.4,,36.3,64.3,41.8,22.0
2015,13.0,5.8,28.6,42.1,55.3,61.1,67.2,64.7,63.1,46.7,38.2,31.1,43.1,,42.0,64.3,49.3,25.0
2016,16.3,21.6,34.4,39.5,54.6,63.6,68.3,68.3,60.8,48.0,40.0,19.8,44.6,,42.8,66.7,49.6,21.3
2017,18.7,25.3,27.4,44.1,51.4,63.8,66.8,62.3,60.2,48.8,30.4,15.2,42.9,,41.0,64.3,46.5,15.2
2018,14.7,15.6,27.3,32.0,60.0,63.8,--,--,--,--,--,--,--,,39.8,--,--,--
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Multi-year  Statistics,,,,,,,,,,,,,,,,,,
Interval/yrs,1895,2018,,,,,,,,,,,,,,,,
AVE,12.3,15.1,26.3,40.5,52.8,62.2,66.8,64.3,56.3,45.0,30.6,17.8,40.8,,39.8,64.5,44.0,15.2
MEDIAN,12.4,15.2,26.1,40.7,52.5,62.3,66.8,64.4,56.2,44.8,30.6,17.9,40.7,,39.8,64.4,44.0,15.1
STD,5.39,5.47,4.82,3.56,3.39,2.74,2.40,2.56,2.66,3.44,3.88,4.89,1.73,,2.62,1.84,2.19,3.84
MAX,25.4,29.9,43.0,48.6,61.1,69.7,73.3,71.5,63.1,54.1,40.8,31.1,45.8,,48.0,68.3,49.7,25.0
MIN,-5.9,-0.2,15.7,31.6,44.2,55.3,61.4,58.6,49.7,35.1,21.7,7.2,36.1,,34.5,59.3,38.2,5.9
Count,124,124,124,124,124,124,123,123,123,123,123,123,123,,124,123,123,123
,,,,,,,,,,,,,,,,,,
Interval/yrs,1901,2000,,,,,,,,,,,,,,,,
AVE,11.7,14.9,26.1,40.3,52.5,62.0,66.7,64.1,55.9,44.9,30.2,17.4,40.6,,39.6,64.3,43.7,14.7
MEDIAN,12.0,14.9,25.8,40.5,52.3,62.1,66.5,64.1,56.1,44.7,30.3,17.6,40.4,,39.6,64.3,43.7,14.5
STD,5.32,5.26,4.52,3.55,3.47,2.87,2.34,2.50,2.42,3.35,3.57,4.77,1.55,,2.52,1.83,1.99,3.54
MAX,23.0,29.9,37.8,48.6,61.1,69.7,73.3,71.5,62.4,54.1,38.6,27.1,45.8,,46.5,68.3,49.7,25.0
MIN,-5.9,-0.2,17.4,31.6,44.2,55.3,61.4,58.6,49.7,35.1,21.7,7.2,36.1,,34.5,59.3,39.2,5.9
,,,,,,,,,,,,,,,,,,
Interval/yrs,1951,2000,,,,,,,,,,,,,,,,
AVE,11.7,16.3,26.7,41.0,53.1,62.2,66.7,64.5,55.7,45.1,30.6,17.7,40.9,,40.2,64.5,43.8,15.3
MEDIAN,12.0,15.8,26.3,41.2,52.7,62.3,66.5,64.3,56.1,44.6,30.9,18.3,40.8,,40.0,64.2,43.7,15.6
STD,4.92,5.10,4.14,3.14,3.59,2.53,2.21,2.32,2.08,3.21,3.70,4.82,1.42,,2.45,1.66,2.03,3.47
MAX,22.5,29.9,36.7,46.9,61.1,67.5,71.9,69.4,61.2,54.0,38.6,26.0,45.8,,46.5,68.3,48.6,25.0
MIN,2.1,7.3,17.5,34.8,46.7,55.3,61.4,60.7,50.9,39.6,21.7,7.4,38.3,,35.8,60.7,39.2,8.3
,,,,,,,,,,,,,,,,,,
Interval/yrs,1981,2010,,,,,,,,,,,,,,,,
AVE,14.1,18.2,28.4,42.0,53.4,62.9,67.2,65.4,57.0,44.8,31.9,18.9,42.0,,41.3,65.1,44.6,17.1
MEDIAN,13.1,18.8,29.1,41.8,53.3,62.8,67.2,65.6,56.8,44.7,32.1,19.0,41.6,,41.3,65.3,44.1,16.4
STD,5.6,5.2,3.9,3.3,3.3,2.6,2.4,2.5,2.5,2.8,4.1,5.5,1.6,,2.7,2.0,2.1,3.6
MAX,25.4,29.9,36.7,48.0,59.2,68.0,71.4,69.4,61.8,51.4,40.8,26.8,45.8,,47.1,68.3,48.3,25.0
MIN,2.9,10.1,21.0,36.1,46.7,56.6,61.4,60.8,51.3,39.7,23.1,7.5,39.1,,35.8,60.7,40.8,11.4
,,,,,,,,,,,,,,,,,,
Interval/yrs,1971,2000,,,,,,,,,,,,,,,,
AVE,11.9,17.1,27.7,41.1,53.6,62.4,66.9,64.7,55.9,44.6,30.7,17.8,41.2,,40.8,64.7,43.7,15.7
MEDIAN,12.2,16.3,28.0,40.9,53.9,62.5,67.0,64.6,56.2,44.6,30.9,18.7,41.2,,40.1,64.2,43.5,16.0
STD,5.3,5.5,4.2,3.5,3.7,2.6,2.2,2.3,2.3,3.1,3.7,5.4,1.6,,2.8,1.7,2.0,3.8
MAX,22.5,29.9,36.7,46.8,61.1,67.5,71.4,69.4,61.2,52.0,38.6,26.0,45.8,,46.5,68.3,48.3,25.0
MIN,2.1,7.3,21.0,34.8,46.7,56.6,61.4,60.9,50.9,39.7,23.1,7.4,38.3,,35.8,60.7,39.2,8.3
,,,,,,,,,,,,,,,,,,
Interval/yrs,1961,1990,,,,,,,,,,,,,,,,
AVE,11.1,15.2,26.8,41.0,53.0,62.0,67.1,64.2,55.6,44.9,30.9,16.9,40.7,,40.3,64.4,43.8,14.4
MEDIAN,11.2,13.9,26.1,41.7,52.5,62.3,67.7,64.2,56.0,44.6,30.9,17.5,40.4,,39.8,64.1,43.7,14.5
STD,5.2,5.0,4.1,3.2,3.8,2.5,2.1,2.1,1.9,3.5,2.9,4.8,1.3,,2.3,1.5,1.8,3.1
MAX,22.5,25.7,35.5,46.8,61.1,66.2,71.4,69.0,58.9,54.0,35.8,24.4,44.6,,46.5,68.2,48.6,22.0
MIN,2.1,7.3,20.6,34.8,47.0,55.3,63.5,60.8,50.9,39.7,23.7,7.4,38.3,,37.3,62.1,39.2,8.3
,,,,,,,,,,,,,,,,,,
Interval/yrs,1951,1980,,,,,,,,,,,,,,,,
AVE,10.8,14.8,25.4,40.6,52.7,61.9,66.6,64.2,55.4,45.4,30.4,17.4,40.5,,39.6,64.2,43.7,14.4
MEDIAN,11.8,14.6,24.6,41.0,51.9,62.3,66.5,64.0,55.9,44.7,30.9,17.4,40.3,,39.4,64.0,43.8,14.8
STD,4.5,4.2,3.9,2.9,3.6,2.3,2.1,2.1,2.0,3.6,3.4,4.0,1.0,,2.0,1.4,2.1,3.0
MAX,18.4,25.1,35.5,46.9,61.1,65.7,71.9,69.0,58.9,54.0,35.8,24.6,42.7,,46.5,67.7,48.6,19.2
MIN,2.1,7.3,17.5,34.8,46.8,55.3,63.1,60.7,50.9,39.6,21.7,7.4,38.3,,36.5,61.7,39.2,8.3
,,,,,,,,,,,,,,,,,,
Interval/yrs,1941,1970,,,,,,,,,,,,,,,,
AVE,12.2,15.1,25.4,40.8,52.2,62.0,66.4,64.5,55.6,46.0,30.2,17.5,40.7,,39.5,64.3,44.0,14.8
MEDIAN,12.0,15.0,24.3,41.4,51.5,62.3,66.2,64.2,55.6,45.4,30.2,17.8,40.5,,39.8,64.4,43.9,14.5
STD,4.5,3.6,4.5,3.4,3.2,2.5,2.1,2.6,2.0,3.3,3.5,3.7,1.1,,2.1,1.6,1.9,2.8
MAX,23.0,25.1,36.9,47.2,57.4,66.5,71.9,71.5,60.1,54.1,35.8,25.0,42.8,,43.5,67.7,48.6,20.1
MIN,3.1,7.8,17.5,31.6,46.8,55.3,63.1,59.5,51.7,39.6,21.7,10.2,37.9,,34.5,61.7,40.1,8.8
,,,,,,,,,,,,,,,,,,
Interval/yrs,1931,1960,,,,,,,,,,,,,,,,
AVE,13.4,15.1,24.8,40.1,52.6,62.4,67.2,64.9,56.2,45.4,29.7,17.9,40.8,,39.2,64.8,43.8,15.3
MEDIAN,14.0,15.2,23.9,40.0,51.9,62.2,67.0,64.6,56.4,44.9,30.0,17.9,40.7,,39.4,64.9,43.9,15.1
STD,4.7,4.5,4.4,3.6,3.1,2.8,2.2,2.6,2.4,3.3,3.9,4.0,1.3,,2.2,1.6,2.1,2.9
MAX,23.0,25.1,36.9,47.2,58.2,69.7,71.9,71.5,62.4,54.1,37.4,26.5,44.9,,43.5,67.7,49.7,21.3
MIN,5.8,-0.2,17.5,31.6,46.8,57.2,63.1,59.5,51.7,39.6,21.7,10.2,37.9,,34.5,61.7,40.1,8.1
,,,,,,,,,,,,,,,,,,
Interval/yrs,1921,1950,,,,,,,,,,,,,,,,
AVE,12.6,14.5,25.3,39.5,52.3,62.2,67.1,64.2,56.4,45.0,29.7,17.2,40.5,,39.1,64.5,43.7,14.6
MEDIAN,12.5,15.2,24.7,38.6,52.2,62.0,67.0,64.2,56.3,45.2,29.5,16.9,40.5,,39.3,64.8,43.9,14.2
STD,5.3,4.8,4.7,3.8,3.4,3.3,2.5,2.6,2.7,3.5,3.4,4.4,1.7,,2.5,2.0,2.1,3.0
MAX,23.0,24.8,36.9,47.2,58.8,69.7,73.3,71.5,62.4,54.1,37.4,26.8,44.9,,43.5,68.3,49.7,21.3
MIN,0.8,-0.2,17.7,31.6,45.2,57.3,62.5,58.9,51.5,35.1,24.4,8.7,37.5,,34.5,60.4,39.4,8.1
,,,,,,,,,,,,,,,,,,
Interval/yrs,1911,1940,,,,,,,,,,,,,,,,
AVE,11.1,13.5,24.9,39.3,52.3,61.9,67.1,63.4,56.3,44.3,29.6,17.4,40.1,,38.8,64.2,43.4,14.0
MEDIAN,11.4,14.6,24.8,38.6,52.3,61.6,67.0,63.4,56.5,44.1,29.5,16.9,40.0,,39.1,64.7,43.8,14.0
STD,6.3,5.9,3.9,3.3,3.4,3.6,2.8,2.5,2.8,3.8,3.5,5.4,1.7,,2.1,2.1,2.2,3.8
MAX,20.5,24.8,31.8,48.6,58.8,69.7,73.3,69.8,62.4,52.1,37.4,27.1,44.9,,43.5,68.3,49.7,21.3
MIN,-5.9,-0.2,17.7,33.7,45.2,57.0,62.4,58.6,49.7,35.1,23.2,7.2,36.1,,35.3,59.3,39.4,7.4
,,,,,,,,,,,,,,,,,,
Interval/yrs,1901,1930,,,,,,,,,,,,,,,,
AVE,10.4,12.8,25.9,39.6,51.5,61.4,66.2,62.9,55.9,44.2,29.9,16.6,39.8,,39.0,63.5,43.3,13.5
