,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
1933,18.1,7.6,23.6,38.5,54.5,69.7,69.7,63.8,60.2,40.8,25.4,11.1,40.3,,38.9,67.7,42.1,12.7
1934,17.9,9.0,20.9,38.4,59.7,65.7,67.9,61.5,53.8,46.3,32.6,11.7,40.5,,39.7,65.0,44.2,11.6
1935,6.5,16.6,27.0,38.6,48.5,57.5,71.5,64.8,54.2,43.4,25.2,15.1,39.1,,38.0,64.6,40.9,6.0
1936,5.0,-2.1,25.4,33.7,57.1,59.8,71.8,66.1,59.4,40.3,25.2,18.0,38.3,,38.7,65.9,41.6,11.8
1937,5.5,11.8,20.8,37.4,54.3,61.5,69.3,69.9,56.3,40.4,26.7,12.4,38.9,,37.5,66.9,41.1,13.0
1938,9.1,17.5,31.3,41.6,52.4,61.0,66.4,67.0,55.3,48.3,29.5,15.6,41.3,,41.8,64.8,44.4,13.1
1939,15.6,8.2,23.3,36.9,56.8,62.9,68.0,64.8,57.5,43.6,30.6,23.8,41.0,,39.0,65.2,43.9,15.2
1940,5.1,16.6,18.2,37.0,49.3,61.1,67.3,63.1,57.9,46.5,26.4,17.7,38.9,,34.8,63.8,43.6,14.9
1941,13.5,13.6,21.2,47.0,57.2,63.8,67.5,64.1,58.1,44.9,31.8,23.1,42.2,,41.8,65.1,44.9,17.1
1942,14.2,14.1,28.9,46.6,51.3,61.8,65.0,63.8,53.1,45.2,28.4,11.8,40.4,,42.3,63.5,42.2,10.6
1943,6.6,13.4,17.0,37.1,51.0,64.7,68.8,65.5,51.7,44.8,24.8,18.0,38.6,,35.0,66.3,40.4,18.7
1944,21.2,16.8,21.4,37.1,56.9,64.0,65.5,66.0,56.1,44.6,34.4,13.7,41.5,,38.5,65.2,45.0,11.4
1945,7.1,13.3,34.8,39.7,47.2,56.9,63.6,63.7,54.7,42.4,27.9,10.8,38.5,,40.6,61.4,41.7,11.7
1946,12.5,11.9,36.4,42.8,50.4,60.8,66.3,62.0,54.8,47.3,29.5,16.2,40.9,,43.2,63.0,43.9,13.7
1947,14.6,10.4,22.4,36.6,47.0,58.8,66.0,71.1,56.8,53.8,24.1,15.3,39.7,,35.3,65.3,44.9,10.3
1948,4.3,11.2,23.3,44.5,51.8,61.3,67.2,66.0,59.8,44.7,32.4,15.6,40.2,,39.9,64.8,45.6,14.1
1949,14.2,12.6,24.0,42.1,54.6,66.2,68.5,65.7,52.4,47.6,30.1,16.0,41.2,,40.2,66.8,43.4,11.7
1950,6.6,12.5,18.7,31.0,50.4,61.4,62.8,59.1,55.0,48.6,24.2,9.3,36.6,,33.4,61.1,42.6,10.1
1951,7.5,13.6,20.5,38.1,56.3,58.5,65.0,60.6,52.0,44.0,21.1,13.6,37.6,,38.3,61.4,39.0,14.6
1952,11.6,18.7,22.4,43.4,51.7,63.3,67.2,62.6,56.2,38.7,31.2,21.0,40.7,,39.2,64.4,42.0,16.4
1953,14.8,13.5,26.3,36.6,52.8,63.4,65.5,65.5,55.7,50.6,34.5,18.4,41.5,,38.6,64.8,46.9,17.4
1954,8.8,24.9,22.4,41.2,46.5,64.2,66.2,62.3,53.9,42.9,32.4,18.2,40.3,,36.7,64.2,43.1,13.2
1955,9.4,12.0,20.8,47.1,56.2,61.7,71.1,68.3,56.0,46.0,23.6,10.0,40.2,,41.4,67.0,41.9,11.3
1956,12.2,11.8,20.8,36.8,51.2,64.6,62.5,63.5,52.5,50.7,28.8,17.8,39.4,,36.3,63.5,44.0,12.3
1957,4.1,15.0,25.0,41.5,51.5,61.5,68.2,63.3,53.4,43.4,28.4,17.5,39.4,,39.3,64.3,41.7,14.7
1958,15.9,10.6,27.1,41.9,51.9,57.0,64.0,63.5,56.6,46.8,30.8,8.2,39.5,,40.3,61.5,44.7,7.1
1959,3.6,9.6,24.3,40.4,56.4,63.4,66.0,67.9,57.0,40.5,20.1,23.6,39.4,,40.4,65.8,39.2,17.5
1960,13.4,15.5,16.1,41.4,51.5,59.1,64.7,65.8,56.9,45.0,32.1,13.6,39.6,,36.3,63.2,44.7,14.9
1961,10.1,21.0,29.1,37.1,49.8,62.4,65.7,65.6,55.9,46.5,28.7,13.8,40.5,,38.7,64.6,43.7,10.0
1962,6.1,10.1,25.9,39.0,56.8,61.1,63.2,63.6,52.8,46.6,31.2,14.6,39.3,,40.6,62.6,43.5,7.2
1963,0.5,6.5,27.4,43.0,50.7,63.9,67.7,62.3,56.5,54.1,34.7,8.2,39.6,,40.4,64.6,48.4,13.9
1964,16.6,16.8,23.0,41.5,57.4,62.3,68.7,61.4,54.2,43.2,32.6,10.8,40.7,,40.6,64.1,43.3,8.9
1965,7.0,8.9,18.0,37.5,56.2,60.5,63.7,62.2,50.5,45.3,29.2,22.4,38.5,,37.2,62.1,41.7,13.3
1966,2.6,14.8,29.3,37.2,47.7,63.5,69.2,61.7,54.8,43.5,28.3,15.7,39.0,,38.1,64.8,42.2,11.9
1967,13.4,6.5,25.3,40.1,46.7,61.8,63.7,60.3,54.6,42.7,25.9,17.1,38.2,,37.4,61.9,41.1,12.7
1968,10.3,10.8,33.1,42.8,49.8,61.0,65.3,64.2,56.3,47.0,29.7,14.7,40.4,,41.9,63.5,44.3,13.1
1969,9.3,15.4,20.6,43.1,53.6,54.6,65.3,66.7,55.8,41.6,28.8,17.2,39.3,,39.1,62.2,42.1,10.9
1970,4.2,11.3,21.5,41.5,52.6,63.9,68.4,64.9,56.4,47.1,28.9,15.6,39.7,,38.5,65.7,44.1,10.5
1971,3.4,12.5,21.4,39.6,48.8,65.3,62.8,61.4,57.1,51.0,30.2,16.8,39.2,,36.6,63.2,46.1,9.5
1972,3.4,8.3,20.7,35.7,56.6,60.0,64.1,63.8,53.8,40.4,28.6,10.9,37.2,,37.7,62.6,40.9,13.9
1973,14.1,16.6,35.2,39.3,48.4,63.4,66.9,66.5,55.2,50.3,30.0,14.8,41.7,,41.0,65.6,45.2,12.1
1974,9.9,11.5,25.0,41.1,49.0,58.3,68.4,62.7,49.8,43.8,31.8,21.1,39.4,,38.4,63.1,41.8,16.0
1975,12.5,14.5,20.4,34.2,56.6,62.0,68.3,64.2,51.4,47.1,34.7,15.6,40.1,,37.1,64.8,44.4,14.6
1976,7.0,21.2,24.9,43.6,50.6,64.8,67.4,64.2,53.9,39.0,22.0,5.3,38.7,,39.7,65.5,38.3,6.7
1977,-1.4,16.1,33.0,46.0,61.7,60.7,68.3,59.6,55.5,44.0,29.8,14.2,40.6,,46.9,62.9,43.1,9.8
1978,6.9,8.2,23.5,38.7,55.0,60.8,64.3,64.8,59.1,43.6,28.2,11.0,38.7,,39.1,63.3,43.6,5.9
1979,0.4,6.4,25.3,37.4,48.5,60.4,66.4,62.2,56.7,41.7,28.6,21.0,37.9,,37.1,63.0,42.3,14.2
1980,10.3,11.4,21.8,42.6,56.0,60.6,67.3,64.6,54.0,39.7,30.9,14.3,39.5,,40.1,64.2,41.5,15.1
1981,12.1,18.8,29.8,42.8,51.2,61.8,65.8,64.9,53.6,41.1,34.3,16.3,41.0,,41.3,64.2,43.0,9.7
1982,1.0,11.9,24.1,36.1,57.6,56.1,67.4,62.0,54.1,45.7,28.7,22.3,38.9,,39.3,61.8,42.8,20.7
1983,16.1,23.6,29.2,37.1,47.6,62.2,70.7,68.7,57.2,44.6,31.6,4.7,41.1,,38.0,67.2,44.5,12.8
1984,8.5,25.1,20.5,43.4,49.6,63.6,65.0,66.9,53.0,47.6,29.7,16.7,40.8,,37.8,65.2,43.4,12.3
1985,8.4,11.9,31.3,44.6,56.2,58.5,64.6,61.9,55.2,43.9,23.8,5.0,38.8,,44.0,61.7,41.0,10.0
1986,12.3,12.8,28.6,45.7,56.0,61.2,67.5,60.7,55.4,43.8,25.2,19.7,40.7,,43.4,63.1,41.5,20.3
1987,17.1,24.1,32.9,46.6,56.0,65.4,69.2,64.0,57.1,38.6,33.5,22.9,44.0,,45.2,66.2,43.1,13.2
1988,7.6,9.0,26.8,41.9,58.0,65.6,70.2,68.1,56.5,38.9,31.8,15.7,40.8,,42.2,68.0,42.4,13.3
1989,17.7,6.4,21.4,38.6,52.6,60.2,68.1,65.0,55.7,46.0,25.0,5.0,38.5,,37.5,64.4,42.2,14.1
1990,20.9,16.3,30.2,43.8,50.2,62.7,65.4,64.4,57.5,42.7,34.1,15.5,42.0,,41.4,64.2,44.8,14.0
1991,7.8,18.8,28.6,44.5,57.6,66.4,65.8,66.4,53.4,42.6,24.1,17.7,41.1,,43.6,66.2,40.0,18.9
1992,17.2,21.9,26.4,38.0,54.7,59.2,60.6,60.7,54.1,43.2,28.2,18.3,40.2,,39.7,60.2,41.8,15.0
1993,12.2,14.5,26.6,37.3,52.3,59.1,65.8,65.6,50.0,41.4,27.2,19.1,39.3,,38.7,63.5,39.5,9.8
1994,0.6,9.8,28.9,40.0,53.6,64.4,64.7,62.1,59.1,47.4,34.2,23.1,40.7,,40.8,63.7,46.9,17.5
1995,14.8,14.6,29.9,35.3,52.0,67.1,67.5,69.1,54.4,45.2,21.1,13.2,40.4,,39.1,67.9,40.2,10.7
1996,6.8,12.2,19.3,35.4,49.9,62.9,63.3,65.3,56.6,44.6,23.9,16.2,38.0,,34.9,63.8,41.7,14.6
1997,9.4,18.1,25.1,38.7,46.9,64.6,65.7,61.5,57.5,45.4,27.3,24.3,40.4,,36.9,63.9,43.4,24.0
1998,17.8,30.0,28.5,46.0,59.5,61.4,67.3,67.0,61.1,47.0,34.7,22.4,45.2,,44.7,65.2,47.6,18.3
1999,9.3,23.2,29.1,44.8,56.6,63.5,70.0,63.7,55.7,42.7,37.3,20.1,43.0,,43.5,65.7,45.2,17.9
2000,11.7,21.9,35.6,40.3,55.4,60.3,65.5,65.3,55.6,48.2,30.6,6.8,41.4,,43.8,63.7,44.8,11.9
2001,17.5,11.3,25.4,44.0,55.2,62.9,67.4,67.6,55.5,43.9,41.0,24.9,43.1,,41.5,66.0,46.8,23.4
2002,21.3,23.9,20.7,39.5,48.4,64.3,71.0,65.2,59.1,39.1,28.8,21.6,41.9,,36.2,66.8,42.3,14.1
2003,10.7,10.0,26.0,39.7,52.3,61.4,66.2,68.1,57.6,44.5,29.7,22.2,40.7,,39.3,65.2,43.9,15.9
2004,7.1,18.5,29.8,41.4,50.4,59.7,65.0,59.7,61.6,46.0,34.2,17.1,40.9,,40.5,61.5,47.3,16.6
2005,11.0,21.7,23.8,45.9,50.8,67.7,69.1,66.1,61.1,47.8,31.8,17.1,42.8,,40.2,67.6,46.9,18.7
2006,24.7,14.4,28.9,47.3,54.8,63.4,71.0,65.7,54.0,40.2,34.1,24.3,43.6,,43.7,66.7,42.8,16.9
2007,17.3,9.1,31.7,40.6,57.2,65.1,67.6,66.1,59.0,50.0,30.2,14.6,42.4,,43.2,66.3,46.4,12.7
2008,12.9,10.7,21.4,39.7,49.6,61.8,66.8,64.4,58.6,44.5,30.7,10.0,39.3,,36.9,64.3,44.6,10.3
2009,3.6,17.3,26.8,40.7,52.8,61.1,61.1,62.6,59.9,39.8,38.1,15.6,40.0,,40.1,61.6,45.9,15.9
2010,14.3,17.9,36.1,48.1,55.9,62.4,69.1,68.6,53.6,47.1,32.6,16.0,43.5,,46.7,66.7,44.4,13.9
2011,9.5,16.2,24.8,39.0,52.1,62.2,70.8,65.9,55.2,48.0,34.4,22.4,41.7,,38.6,66.3,45.9,21.1
2012,17.5,23.4,42.8,42.9,57.2,64.8,71.7,64.5,55.0,42.6,31.9,22.5,44.7,,47.6,67.0,43.2,16.6
2013,13.7,13.6,21.0,34.2,52.9,61.5,67.0,65.2,58.3,44.4,28.1,8.2,39.0,,36.0,64.6,43.6,5.1
2014,2.7,4.5,17.4,36.1,53.4,64.3,63.6,64.1,55.7,43.7,22.1,20.7,37.4,,35.6,64.0,40.5,20.4
2015,11.9,4.2,28.3,42.6,54.3,61.6,66.5,63.5,62.4,45.5,36.9,29.0,42.2,,41.7,63.9,48.3,23.2
2016,13.6,19.6,34.3,40.2,54.2,63.5,67.5,67.0,60.0,47.8,39.4,17.7,43.7,,42.9,66.0,49.1,19.4
2017,16.4,24.1,26.8,43.5,50.8,63.0,66.5,61.6,59.8,47.3,28.2,13.5,41.8,,40.4,63.7,45.1,12.7
2018,12.5,12.0,26.4,30.3,60.6,64.7,--,--,--,--,--,--,--,,39.1,--,--,--
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Multi-year  Statistics,,,,,,,,,,,,,,,,,,
Interval/yrs,1895,2018,,,,,,,,,,,,,,,,
AVE,10.2,13.5,25.3,40.3,52.8,62.2,66.7,64.2,55.9,44.5,29.4,15.8,40.1,,39.5,64.3,43.3,13.2
MEDIAN,10.3,13.5,25.2,40.2,52.7,62.2,66.5,64.2,55.7,44.6,29.5,15.7,39.9,,39.4,64.4,43.4,13.1
STD,5.71,5.75,5.15,3.80,3.50,2.75,2.42,2.50,2.76,3.55,4.17,5.21,1.73,,2.75,1.81,2.25,4.01
MAX,24.7,30.0,42.8,49.3,61.7,69.7,72.6,71.1,62.4,54.1,41.0,29.0,45.2,,47.6,68.1,49.1,24.0
MIN,-8.2,-2.1,13.5,30.3,44.4,54.6,60.6,58.8,48.9,33.9,20.1,4.7,35.2,,33.4,59.3,37.7,4.0
Count,124,124,124,124,124,124,123,123,123,123,123,123,123,,124,123,123,123
,,,,,,,,,,,,,,,,,,
Interval/yrs,1901,2000,,,,,,,,,,,,,,,,
AVE,9.6,13.4,25.2,40.1,52.6,61.9,66.5,63.9,55.5,44.5,29.0,15.3,39.8,,39.3,64.1,43.0,12.8
MEDIAN,9.7,13.1,25.1,40.0,52.5,61.8,66.4,64.0,55.6,44.6,29.1,15.6,39.7,,39.2,64.2,43.1,12.8
STD,5.65,5.59,4.83,3.74,3.60,2.89,2.36,2.46,2.53,3.50,3.81,5.12,1.58,,2.64,1.80,2.08,3.72
MAX,21.2,30.0,38.2,49.3,61.7,69.7,72.6,71.1,62.1,54.1,37.3,25.2,45.2,,46.9,68.1,48.9,24.0
MIN,-8.2,-2.1,15.9,31.0,44.4,54.6,60.6,58.8,48.9,33.9,20.1,4.7,35.2,,33.4,59.3,38.3,4.0
,,,,,,,,,,,,,,,,,,
Interval/yrs,1951,2000,,,,,,,,,,,,,,,,
AVE,9.5,14.8,25.7,40.6,53.0,61.9,66.3,64.1,55.1,44.5,29.2,15.6,40.0,,39.8,64.1,43.0,13.4
MEDIAN,9.4,14.1,25.3,40.8,52.6,61.9,65.9,64.1,55.6,44.0,29.5,16.0,39.9,,39.2,64.2,43.0,13.2
STD,5.24,5.57,4.49,3.31,3.69,2.59,2.24,2.34,2.24,3.38,3.96,5.15,1.50,,2.59,1.67,2.16,3.69
MAX,20.9,30.0,35.6,47.1,61.7,67.1,71.1,69.1,61.1,54.1,37.3,24.3,45.2,,46.9,68.0,48.4,24.0
MIN,-1.4,6.4,16.1,34.2,46.5,54.6,60.6,59.6,49.8,38.6,20.1,4.7,37.2,,34.9,60.2,38.3,5.9
,,,,,,,,,,,,,,,,,,
Interval/yrs,1981,2010,,,,,,,,,,,,,,,,
AVE,12.3,16.7,27.4,41.6,53.4,62.5,66.8,64.9,56.4,44.1,30.6,16.9,41.1,,40.8,64.8,43.7,15.3
MEDIAN,12.2,16.8,28.6,41.1,53.2,62.6,67.1,65.3,56.1,44.5,30.7,17.1,40.9,,40.7,64.8,43.4,14.3
STD,5.7,5.8,4.1,3.6,3.3,2.6,2.6,2.6,2.7,2.9,4.6,5.7,1.7,,2.9,2.0,2.2,3.8
MAX,24.7,30.0,36.1,48.1,59.5,67.7,71.0,69.1,61.6,50.0,41.0,24.9,45.2,,46.7,68.0,47.6,24.0
MIN,0.6,6.4,19.3,35.3,46.9,56.1,60.6,59.7,50.0,38.6,21.1,4.7,38.0,,34.9,60.2,39.5,9.7
,,,,,,,,,,,,,,,,,,
Interval/yrs,1971,2000,,,,,,,,,,,,,,,,
AVE,9.9,15.7,26.8,40.6,53.5,62.1,66.5,64.2,55.3,44.0,29.4,15.7,40.3,,40.3,64.3,42.9,13.9
MEDIAN,9.7,14.6,26.7,40.2,54.2,61.9,66.7,64.3,55.5,43.9,29.8,16.3,40.4,,39.7,64.1,42.9,14.0
STD,5.7,6.0,4.4,3.7,3.9,2.6,2.2,2.4,2.5,3.2,4.0,5.7,1.7,,3.0,1.8,2.1,4.1
MAX,20.9,30.0,35.6,46.6,61.7,67.1,70.7,69.1,61.1,51.0,37.3,24.3,45.2,,46.9,68.0,47.6,24.0
MIN,-1.4,6.4,19.3,34.2,46.9,56.1,60.6,59.6,49.8,38.6,21.1,4.7,37.2,,34.9,60.2,38.3,5.9
,,,,,,,,,,,,,,,,,,
Interval/yrs,1961,1990,,,,,,,,,,,,,,,,
AVE,8.9,13.6,26.0,40.7,52.9,61.6,66.6,63.8,55.0,44.4,29.7,14.6,39.8,,39.9,64.0,43.0,12.3
MEDIAN,8.9,12.2,25.3,41.3,52.6,61.8,67.1,64.1,55.3,43.9,29.7,15.6,39.5,,39.2,64.2,43.0,12.8
STD,5.6,5.4,4.5,3.3,3.9,2.5,2.1,2.2,2.1,3.6,3.1,5.1,1.4,,2.5,1.6,1.8,3.3
MAX,20.9,25.1,35.2,46.6,61.7,65.6,70.7,68.7,59.1,54.1,34.7,22.9,44.0,,46.9,68.0,48.4,20.7
MIN,-1.4,6.4,18.0,34.2,46.7,54.6,62.8,59.6,49.8,38.6,22.0,4.7,37.2,,36.6,61.7,38.3,5.9
,,,,,,,,,,,,,,,,,,
Interval/yrs,1951,1980,,,,,,,,,,,,,,,,
AVE,8.3,13.1,24.3,40.3,52.6,61.6,66.2,63.7,54.8,44.9,29.2,15.2,39.5,,39.1,63.8,43.0,12.3
MEDIAN,9.1,12.3,23.9,40.8,51.8,61.8,66.1,63.6,55.4,44.0,29.5,15.2,39.4,,38.9,63.8,43.1,12.9
STD,4.8,4.5,4.3,3.0,3.7,2.4,2.1,2.1,2.1,3.8,3.6,4.3,1.0,,2.1,1.4,2.2,3.1
MAX,16.6,24.9,35.2,47.1,61.7,65.3,71.1,68.3,59.1,54.1,34.7,23.6,41.7,,46.9,67.0,48.4,17.5
MIN,-1.4,6.4,16.1,34.2,46.5,54.6,62.5,59.6,49.8,38.7,20.1,5.3,37.2,,36.3,61.4,38.3,5.9
,,,,,,,,,,,,,,,,,,
Interval/yrs,1941,1970,,,,,,,,,,,,,,,,
AVE,9.9,13.2,24.2,40.5,52.2,61.7,66.1,64.1,55.0,45.7,29.0,15.4,39.7,,39.0,64.0,43.2,12.7
MEDIAN,9.8,13.0,23.2,41.3,51.6,61.8,65.9,63.8,55.4,45.1,29.1,15.6,39.7,,39.1,64.3,43.4,12.5
STD,4.8,3.8,4.9,3.5,3.3,2.6,2.1,2.5,2.0,3.4,3.7,4.0,1.2,,2.3,1.6,2.0,2.9
MAX,21.2,24.9,36.4,47.1,57.4,66.2,71.1,71.1,59.8,54.1,34.7,23.6,42.2,,43.2,67.0,48.4,18.7
MIN,0.5,6.5,16.1,31.0,46.5,54.6,62.5,59.1,50.5,38.7,20.1,8.2,36.6,,33.4,61.1,39.0,7.1
,,,,,,,,,,,,,,,,,,
Interval/yrs,1931,1960,,,,,,,,,,,,,,,,
AVE,11.2,13.3,23.6,39.9,52.7,62.2,67.0,64.7,55.8,45.1,28.4,15.8,40.0,,38.7,64.6,43.1,13.3
MEDIAN,11.9,13.4,22.9,39.3,51.9,61.8,67.1,64.5,55.9,44.9,28.6,15.6,40.0,,38.9,64.8,43.2,13.1
STD,5.1,4.8,4.7,3.7,3.3,2.9,2.4,2.6,2.5,3.4,4.0,4.3,1.5,,2.4,1.7,2.2,3.0
MAX,21.2,24.9,36.4,47.1,59.7,69.7,71.8,71.1,61.5,53.8,36.2,24.7,44.5,,43.2,67.7,48.9,19.2
MIN,3.6,-2.1,16.1,31.0,46.5,56.9,62.5,59.1,51.7,38.7,20.1,8.2,36.6,,33.4,61.1,39.0,6.0
,,,,,,,,,,,,,,,,,,
Interval/yrs,1921,1950,,,,,,,,,,,,,,,,
AVE,10.3,13.0,24.3,39.6,52.5,62.1,67.1,64.3,56.0,44.7,28.6,15.1,39.8,,38.8,64.5,43.1,12.6
MEDIAN,10.2,13.5,23.6,38.7,52.5,61.7,67.1,64.2,56.2,44.8,28.2,15.2,39.6,,39.1,64.9,43.4,12.1
STD,5.8,5.1,5.0,3.9,3.7,3.3,2.5,2.6,2.7,3.6,3.7,4.8,1.7,,2.6,1.9,2.1,3.1
MAX,21.2,24.2,36.4,47.0,59.7,69.7,72.4,71.1,61.5,53.8,36.2,25.2,44.5,,43.2,68.1,48.9,20.1
MIN,-2.7,-2.1,15.9,31.0,44.8,56.9,62.8,59.0,51.4,34.3,23.1,5.1,36.6,,33.4,60.5,38.9,6.0
,,,,,,,,,,,,,,,,,,
Interval/yrs,1911,1940,,,,,,,,,,,,,,,,
AVE,8.8,12.1,24.0,39.4,52.6,62.0,67.1,63.5,55.9,43.9,28.7,15.2,39.4,,38.7,64.2,42.8,12.0
MEDIAN,9.1,12.7,23.6,38.7,52.7,61.3,67.0,63.6,56.2,43.7,28.1,15.2,39.4,,38.8,64.7,43.2,12.2
STD,6.7,6.2,4.1,3.6,3.6,3.6,2.7,2.5,2.8,4.0,3.8,5.9,1.7,,2.2,2.0,2.2,3.9
MAX,18.8,24.2,31.3,49.3,59.7,69.7,72.6,69.9,61.5,51.6,36.2,25.2,44.5,,43.1,68.1,48.9,20.1
MIN,-8.2,-2.1,15.9,33.4,44.8,57.0,62.1,58.8,48.9,33.9,21.3,4.8,35.2,,34.8,59.3,38.9,4.9
,,,,,,,,,,,,,,,,,,
Interval/yrs,1901,1930,,,,,,,,,,,,,,,,
AVE,8.1,11.5,25.1,39.7,51.8,61.6,66.2,63.1,55.7,44.0,29.1,14.6,39.2,,38.9,63.6,42.9,11.7
